target_param,epoch,train_mae,valid_mae,minutes,lr,minutes:
inf,246,0.054908796239254785,0.08542104942664022,,1.52587890625e-08,1083.7690402825674
inf,247,0.05490878250896737,0.08542106036216979,,1.52587890625e-08,1088.3430419484773
inf,248,0.05490877402849576,0.08542099150438462,,1.52587890625e-08,1092.9287346402803
inf,249,0.05490876604982724,0.08542100388196207,,1.52587890625e-08,1097.5170273979504
inf,250,0.05490876276660149,0.08542103428513773,,1.52587890625e-08,1102.1077565670014
inf,251,0.05490876724220674,0.08542090858663283,,1.52587890625e-08,1106.6999706347785
inf,252,0.05490875671867986,0.08542103704906277,,1.52587890625e-08,1111.2955414851506
inf,253,0.054908756706732224,0.08542100328110881,,1.52587890625e-08,1115.8797490994136
inf,254,0.05490874522261087,0.08542115914244805,,1.52587890625e-08,1120.4606646537782
inf,255,0.054908741019412906,0.08542104594169123,,1.52587890625e-08,1125.0522979338964
inf,256,0.054908738637043146,0.085420944036976,,1.52587890625e-08,1129.6563705007236
inf,257,0.054908733595117235,0.08542102659421581,,1.52587890625e-08,1134.2527877529462
inf,258,0.0549087321900686,0.08542097720407668,,1.52587890625e-08,1138.8531882127127
inf,259,0.0549087243643306,0.08542103164138334,,1.52587890625e-08,1143.4386962850888
inf,260,0.054908719599591115,0.08542103344394314,,1.52587890625e-08,1148.0298253655433
inf,261,0.054908705639908066,0.08542103704906277,,1.52587890625e-08,1152.6147078911465
inf,262,0.05490870053107505,0.08542116346859159,,1.52587890625e-08,1157.2094577113787
inf,263,0.05490870798165552,0.08542109665370756,,1.52587890625e-08,1161.8051049868266
inf,264,0.054908699689957464,0.08542111107418618,,1.52587890625e-08,1166.399982813994
inf,265,0.054908681689565066,0.08542101409646771,,1.52587890625e-08,1171.0090261141459
inf,266,0.05490868218180996,0.08542111407845251,,1.52587890625e-08,1175.6086261630055
inf,267,0.05490867973253314,0.08542119447262056,,1.52587890625e-08,1180.2147758960725
inf,268,0.054908680860395236,0.08542110831026108,,1.52587890625e-08,1184.7963912407554
inf,269,0.05490868023194664,0.08542115097084353,,1.52587890625e-08,1189.385246447722
inf,270,0.05490867118037536,0.08542109328892925,,1.52587890625e-08,1193.976489075025
inf,271,0.054908657533721685,0.08542107526333102,,1.52587890625e-08,1198.5705739299456
inf,272,0.05490866018133017,0.08542113330575729,,1.52587890625e-08,1203.1694812337555
inf,273,0.05490865275703465,0.08542102202773094,,1.52587890625e-08,1207.763098092874
inf,274,0.054908655313840704,0.08542108259374093,,1.52587890625e-08,1212.3514189680418
inf,275,0.054908640857133637,0.08542115205237939,,1.52587890625e-08,1216.9385903199513
inf,276,0.05490863421899595,0.08542115866176546,,1.52587890625e-08,1221.5315931240718
inf,277,0.05490863170759122,0.08542118281606703,,1.52587890625e-08,1226.1206013321876
inf,278,0.05490862598225753,0.08542118942545306,,1.52587890625e-08,1230.727004400889
inf,279,0.05490862255088028,0.08542103476582033,,1.52587890625e-08,1235.3157080809274
inf,280,0.05490861639781893,0.08542106144370577,,1.52587890625e-08,1239.9058684587478
inf,281,0.05490861665588921,0.08542107730623212,,1.52587890625e-08,1244.5057219425835
inf,282,0.054908610959229706,0.08542111131452748,,1.52587890625e-08,1249.1008097489675
inf,283,0.05490859958263755,0.08542114436145751,,1.52587890625e-08,1253.3272018869718
inf,284,0.054908598136966816,0.08542123977695741,,1.52587890625e-08,1257.9085262576739
inf,285,0.05490859455504881,0.08542120084166524,,1.52587890625e-08,1262.490137163798
